2018_rank,City,State,2018_estimate,2010_census,Change (%),2016_land_area (km2),2016_population_density (/km2),Location,Description,Nickname,County,Govern_type,Govern_body,Govern_mayor,Area_land,Area_water,Area_metro,Elevation,CSA,Time_zone,ZIP_code,Area_code,FIPS_code,Airport,Website,Area_land (km2),Area_water (km2),Area_metro (km2),Elevation (m)
222,Fargo,North Dakota,124844,105549,18.28,127.7,950,46°51′55″N 96°49′44″W,"Fargo is a city in and the county seat of Cass County, North Dakota, United States. The most populous city in the state, it accounts for nearly 17% of the state population. According to the 2018 United States Census estimates, its population was 124,844, making it the 222nd-most populous city in the United States. Fargo, along with its twin city of Moorhead, Minnesota, as well as the adjacent cities of West Fargo, North Dakota and Dilworth, Minnesota, form the core of the Fargo-Moorhead, ND-MN Metropolitan Statistical Area, which in 2018 contained a population of 245,471.",,Cass,,,Tim Mahoney,48.82 sq mi (126.44 km2),0 sq mi (0 km2),"245,471 (US: 189th)",904 ft (274 m),,UTC-6 (CST),"58102-58109, 58121-58122, 58124-58126",701,38-25700,,City of Fargo,126.44,0.0,,274.0
223,Norman,Oklahoma,123471,110925,11.31,463.1,264,35°14′26″N 97°20′43″W,"Norman (/ˈnɔːrmən/) is a city in the U.S. state of Oklahoma located 20 miles (32 km) south of downtown Oklahoma City. As the county seat of Cleveland County and a part of the Oklahoma City metropolitan area, its population was 110,925 at the 2010 census. Norman's estimated population of 122,843 in 2017 makes it the third-largest city in Oklahoma.",,Cleveland,Council-manager,,Lynne Miller,178.8 sq mi (463.0 km2),10.7 sq mi (27.6 km2),"1,319,677 (U.S.: 42nd)","1,171 ft (357 m)",,UTC−6 (Central (CST)),"73019, 73026, 73069, 73070, 73071, 73072",405,40-52500,,www.ci.norman.ok.us,463.0,27.6,,357.0
224,Columbia,Missouri,123180,108500,13.53,168.3,717,38°57′06″N 92°19′43″W,"Columbia /kəˈlʌmbiə/ is a city in the U.S. state of Missouri. It is the county seat of Boone County and home to the University of Missouri. Founded in 1821, it is the principal city of the five-county Columbia metropolitan area. It is Missouri's fourth most-populous and fastest growing city, with an estimated 123,180 residents in 2018.","Athens of Missouri, or CoMo",Boone,Council-Manager,Columbia City Council,Brian Treece,63.08 sq mi (163.4 km2),.42 sq mi (1.1 km2),,758 ft (231 m),,UTC-6 (CST),"65201, 65202, 65203, 65211",573,29-15670,,www.como.gov,163.4,1.1,,231.0
225,Abilene,Texas,122999,117063,5.07,276.4,442,32°27′16″N 99°44′17″W,"Abilene (/ˈæbɪliːn/ AB-i-leen) is a city in Taylor and Jones counties in Texas, United States. The population was 117,463 at the 2010 census, making it the 27th-most populous city in the state of Texas. It is the principal city of the Abilene Metropolitan Statistical Area, which had a 2017 estimated population of 170,219. It is the county seat of Taylor County. Dyess Air Force Base is located on the west side of the city.","The Key City
The Friendly Frontier","Taylor, Jones",Council-Manager,,,106.8 sq mi (276.6 km2),5.4 sq mi (14.0 km2),"170,219","1,719 ft (527 m)",,UTC−6 (CST),79601-79697-99,325,48-01000,,abilenetx.com,276.6,14.0,170219.0,527.0
226,Wilmington,North Carolina,122607,106476,15.15,133.6,880,34°12′33″N 77°53′09″W,"Wilmington is a port city and the county seat of New Hanover County in coastal southeastern North Carolina, United States.",,,,,,,,,,,,,,,,,,,,
227,Hartford,Connecticut,122587,124775,-1.75,45.1,2735,41°45′57″N 72°40′54″W,"Hartford is the capital city of Connecticut. It was the seat of Hartford County until Connecticut disbanded county government in 1960. The city is nicknamed the ""Insurance Capital of the World"", as it hosts many insurance company headquarters and is the region's major industry. It is the core city in the Greater Hartford area of Connecticut. Census estimates since the 2010 United States Census have indicated that Hartford is the fourth-largest city in Connecticut, behind the coastal cities of Bridgeport, New Haven, and Stamford.",New England's Rising StarThe Insurance Capital of the World,Hartford,Mayor-council,,Luke Bronin (D),17.4 sq mi (45.0 km2),0.7 sq mi (1.7 km2),"1,214,295 (US: 47th)",59 ft (18 m),1489361.0,UTC−5 (EST),061xx,860-959,09-37000,Bradley International Airport,www.hartford.gov,45.0,1.7,,18.0
228,Victorville,California,122312,115903,5.53,189.8,644,34°31′40″N 117°21′13″W,"Victorville is a city located in the Victor Valley of southwestern San Bernardino County, California. Its estimated population as of July 1, 2013 was 121,096.",,San Bernardino,,,Gloria Garcia,73.33 sq mi (189.92 km2),0.56 sq mi (1.46 km2)  0.76%,,"2,726 ft (831 m)",,UTC-8 (Pacific Time Zone),92392-92395,442-760,06-82590,San Bernardino International AirportSBD (Major/International),www.victorvilleca.gov,189.92,1.46,,831.0
229,Pearland,Texas,122149,91252,33.86,119.9,947,29°33′21″N 95°19′23″W,"Pearland (/ˈpɛərlænd/ PAIR-land) is a city in the U.S. state of Texas, within the Houston–The Woodlands–Sugar Land metropolitan area. Most of the city is in Brazoria County, with portions extending into Fort Bend and Harris counties. As of the 2010 census, the city's population was 91,252, up from a population of 37,640 at the 2000 census. Pearland's population growth rate from 2000 to 2010 was 142 percent, which ranked Pearland as the 15th-fastest-growing city in the U.S. during that time period, compared to other cities with a population of 10,000 or greater in 2000. Pearland is the third-largest city in the Houston MSA, and from 2000 to 2010, ranked as the fastest-growing city in the Houston MSA and the second-fastest-growing city in Texas. As of 2015 the population had risen to an estimated 108,821.",,,,,,,,,,,,,,,,,,,,
230,Vallejo,California,121913,115942,5.15,79.5,1525,38°06′28″N 122°15′50″W,"Vallejo (/vəˈleɪ(h)oʊ/ və-LAY-(h)oh; Spanish: [baˈʎexo]) is a waterfront city in Solano County, California, located in the North Bay subregion of the San Francisco Bay Area. Vallejo is geographically the closest North Bay city to the inner East Bay, so it is sometimes associated with that region. Its population was 115,942 at the 2010 census. It is the tenth most populous city in the San Francisco Bay Area, and the largest in Solano County. Vallejo sits on the northeastern shore of San Pablo Bay, 30 miles north of San Francisco, the northwestern shore of the Carquinez Strait and the southern end of the Napa River, 15 miles south of Napa. The city is named after General Mariano Guadalupe Vallejo, a native Californio, leading proponent of California's statehood, and one of the first members of the California State Senate; the neighboring city of Benicia is named for his wife, Francisca Benicia Carrillo de Vallejo.","V-Town, The Old Capital, Valley Joe",Solano,Council-Manager,,Bob Sampayan,30.67 sq mi (79.44 km2),18.87 sq mi (48.87 km2)  38.0%,,69 ft (21 m),,UTC−8 (Pacific),"94589, 94590, 94591, 94592",707,06-81666,,www.ci.vallejo.ca.us,79.44,48.87,,21.0
231,Ann Arbor,Michigan,121890,113934,6.98,72.8,1659,42°16′34″N 83°43′51″W,"Ann Arbor is a city in the U.S. state of Michigan and the county seat of Washtenaw County.  The 2010 census recorded its population to be 113,934, making it the sixth largest city in Michigan.","A2 , A2 , Tree Town",Washtenaw,Council-Manager,,Christopher Taylor (D),27.90 sq mi (72.27 km2),0.87 sq mi (2.25 km2),"344,791",840 ft (256 m),,UTC-5 (EST),"48103, 48104, 48105, 48106, 48107, 48108, 48109, 48113",734,26-03000,,Official website,72.27,2.25,344791.0,256.0
232,Berkeley,California,121643,112580,8.05,27.2,4458,37°52′01″N 122°17′57″W,"Berkeley (/ˈbɜːrkli/ BURK-lee) is a city on the east shore of San Francisco Bay in northern Alameda County, California. It is named after the 18th-century Irish bishop and philosopher George Berkeley. It borders the cities of Oakland and Emeryville to the south and the city of Albany and the unincorporated community of Kensington to the north. Its eastern border with Contra Costa County generally follows the ridge of the Berkeley Hills. The 2010 census recorded a population of 112,580.",,Alameda,Council-Manager,,Jesse Arreguín,10.47 sq mi (27.11 km2),7.23 sq mi (18.72 km2)  40.83%,,171 ft (52 m),,UTC−8 (Pacific),"94701-94710, 94712, 94720",510,06-06000,,www.cityofberkeley.info,27.11,18.72,,52.0
233,Allentown,Pennsylvania,121433,118032,2.88,45.3,2657,40°35′37″N 75°28′42″W,"Allentown (Pennsylvania Dutch: Allenschteddel) is a city located in Lehigh County, Pennsylvania, United States. It is Pennsylvania's third most populous city and the 231st largest city in the United States. As of the 2010 census, the city had a total population of 118,032 and is currently the fastest growing city in all of Pennsylvania. It is the largest city in the metropolitan area known as the Lehigh Valley, which had a population of 821,623 residents as of 2010[update]. Allentown constitutes a portion of the New York City Combined Statistical Area and is the county seat of Lehigh County.  In 2012, the city celebrated the 250th anniversary of its founding in 1762.","The A The Queen City, A-Town, Band City USA, Peanut City, Silk City.",Lehigh,Mayor-Council,,Ray O'Connell (D),17.55 sq mi (45.45 km2),0.48 sq mi (1.24 km2),"730.0 sq mi (1,174.82 km2)",338 ft (103 m),,UTC−5 (EST),"18101, 18102, 18103, 18104, 18105, 18106, 18109, 18175, 18195","610,484",42-02000,Lehigh Valley International Airport- ABE (Major/International),www.allentownpa.gov,45.45,1.24,1174.82,103.0
234,Richardson,Texas,120981,99223,21.93,74.1,1530,32°58′20″N 96°42′29″W,"Richardson is a principal city in Dallas and Collin counties in the U.S. state of Texas. As of the 2015 American Community Survey, the city had a total population of 106,123. Richardson is an affluent inner suburb of Dallas. It is home to The University of Texas at Dallas (UTD) and the Telecom Corridor®, with a high concentration of telecommunications companies. More than 5,000 businesses have operations within Richardson's 28 square miles (73 km2), including many of the world's largest telecommunications/networking companies: AT&T, Verizon, Cisco Systems, Samsung, ZTE, MetroPCS, Texas Instruments, Qorvo, and Fujitsu. Richardson's largest employment base is provided by the insurance industry, with Blue CrossBlue Shield of Texas' headquarters located in the community along with a regional hub for GEICO, regional offices for United Healthcare, and one of State Farm Insurance's three national regional hubs.",The Telecom Corridor,Dallas Collin,Council-Manager,,,28.6 sq mi (74.0 km2),0.08 sq mi (0.2 km2),,630 ft (192 m),,UTC−6 (CST),"75080-75083, 75085","214,469,972",48-61796,,www.cor.net,74.0,0.2,,192.0
235,Odessa,Texas,120568,99940,20.64,117.1,1007,31°53′02″N 102°20′28″W,"Odessa /ˌoʊˈdɛsə/ is a city in and the county seat of Ector County, Texas, United States.  It is located primarily in Ector County, although a small section of the city extends into Midland County. Odessa's population was 118,918 at the 2010 census, making it the 29th-most populous city in Texas; estimates as of July 2015 indicate a population of 159,436 in the city. It is the principal city of the Odessa Metropolitan Statistical Area, which includes all of Ector County. The metropolitan area is also a component of the larger Midland–Odessa combined statistical area, which had a 2010 census population of 278,801; a recent report from the United States Census Bureau estimates that the combined population as of July 2015 is 320,513. In 2014, Forbes magazine ranked Odessa as the third-fastest growing small city in the United States.",,"Ector, Midland",Council-Manager,,,43.9 sq mi (113.7 km2),0.1 sq mi (0.2 km2),,"2,900 ft (884 m)",,UTC−6 (CST),79760-69,432,48-53388,,www.odessa-tx.gov,113.7,0.2,,884.0
236,Arvada,Colorado,120492,106433,13.21,100.0,1175,39°50′01″N 105°09′01″W,"Arvada /ɑːrˈvædə/ is a Home Rule Municipality in Jefferson and Adams counties, a part of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area of the U.S. state of Colorado. As of the 2010 census the population was 106,433, and in 2016 the estimated population was 117,453, ranking Arvada as the seventh most populous municipality in Colorado. The Olde Town Arvada historic district is 7 miles (11 km) northwest of the Colorado State Capitol in Denver.",,Jefferson CountyAdams County,Home Rule Municipality,,Marc Williams (2011- ),38.67 sq mi (100.15 km2),0.72 sq mi (1.87 km2),,"5,344 ft (1,662 m)",,UTC−7 (MST),80001-800 80403,",303,720",08-03455,,arvada.org,100.15,1.87,,1662.0
237,Cambridge,Massachusetts,118977,105162,13.14,16.6,6675,42°22′34″N 71°07′07″W,"Cambridge (/ˈkeɪmbrɪdʒ/ KAYM-brij) is a city in Middlesex County, Massachusetts, and part of the Boston metropolitan area.",,Middlesex,Council-City Manager,,Marc C. McGovern,6.43 sq mi (16.65 km2),0.70 sq mi (1.81 km2),,40 ft (12 m),,UTC−5 (Eastern),"02138, 02139, 02140, 02141, 02142","617,-,857",25-11000,,cambridgema.gov,16.65,1.81,,12.0
238,Sugar Land,Texas,118600,78817,50.48,88.1,1347,29°35′58″N 95°36′51″W,"Sugar Land is a city in Fort Bend County, Texas, United States, located in the southwestern part of the Houston–The Woodlands–Sugar Land metropolitan area. Located about 19 miles (31 km) southwest of downtown Houston, Sugar Land is a populous suburban municipality centered around the junction of Texas State Highway 6 and U.S. Route 59. Beginning in the 19th century, the present-day Sugar Land area was home to a large sugar plantation situated in the fertile floodplain of the Brazos River. Following the consolidation of local plantations into Imperial Sugar Company in 1908, Sugar Land grew steadily as a company town and incorporated as a city in 1959. Since then, Sugar Land has grown rapidly alongside other edge cities around Houston, with large-scale development of master-planned communities contributing to population swells since the 1980s.",,,,,,,,,,,,,,,,,,,,
239,Beaumont,Texas,118428,118296,0.11,212.6,556,30°05′06″N 94°08′43″W,"Beaumont (/ˈboʊmɒnt/ BOH-mont) is a city in and the county seat of Jefferson County, Texas, in the United States, within the Beaumont–Port Arthur Metropolitan Statistical Area. Located in Southeast Texas on the Neches River about 85 miles (137 km) east of Houston (city center to city center), Beaumont had a population of 117,267 at the time of the 2010 census, making it the thirtieth-most populous city in the state of Texas.",,Jefferson,Council-Manager,,,82.8 sq mi (214.5 km2),3.1 sq mi (7.9 km2),"404,872 (130th U.S.)",16 ft (5 m),,UTC−6 (CST),"77701-77710, 77713, 77720, 77725, 77726",409,48-07000,,beaumonttexas.gov,214.5,7.9,,5.0
240,Lansing,Michigan,118427,114297,3.61,101.3,1146,42°42′51″N 84°33′33″W,"Lansing /ˈlænsɪŋ/ is the capital of the U.S. state of Michigan. It is mostly in Ingham County, although portions of the city extend west into Eaton County and north into Clinton County. The 2010 Census placed the city's population at 114,297, making it the fifth largest city in Michigan. The population of its Metropolitan Statistical Area (MSA) was 464,036, while the even larger Combined Statistical Area (CSA) population, which includes Shiawassee County, was 534,684. It was named the new state capital of Michigan in 1847, ten years after Michigan became a state.","Capital City, L-Town, The Heart of Michigan","Ingham, Clinton, Eaton",Strong Mayor-Council,,Andy Schor (D),39.17 sq mi (101.45 km2),0.64 sq mi (1.66 km2),"1,714.6 sq mi (4,440.8 km2)",860 ft (262 m),534684.0,UTC-5 (EST),48901-48980,517,26-46000,,www.lansingmi.gov,101.45,1.66,4440.8,262.0
241,Evansville,Indiana,117963,117429,0.45,122.5,975,37°59′16″N 87°32′05″W,"Evansville is a city and the county seat of Vanderburgh County, Indiana, United States. The population was 117,429 at the 2010 census, making it the state's third-most populous city after Indianapolis and Fort Wayne, the largest city in Southern Indiana, and the 232nd-most populous city in the United States. It is the commercial, medical, and cultural hub of Southwestern Indiana and the Illinois-Indiana-Kentucky tri-state area, home to over 911,000 people. The 38th parallel crosses the north side of the city and is marked on Interstate 69.","Eville, The Ville, River City, Stoplight City, Pocket City, Crescent City",Vanderburgh,,,Lloyd Winnecke (R),47.35 sq mi (122.63 km2),0.49 sq mi (1.27 km2),"2,367 sq mi (6,130 km2)",387 ft (118 m),,UTC-6 (CST),"  47701, 47702, 47703, 47704, 47705, 47706, 47708, 47710, 47711, 47712, 47713, 47714, 47715, 47716, 47719, 47720, 47721, 47722, 47724, 47725, 47726, 47727, 47728, 47730, 47731, 47732, 47733, 47734, 47735, 47736, 47737, 47739, 47740, 47741, 47744, 47747, 47750, 47755, 47761, 47777","812,930",18-22000,Evansville Regional Airport,City of Evansville,122.63,1.27,6130.0,118.0
242,Rochester,Minnesota,116961,106769,9.55,141.4,806,44°00′55″N 92°28′38″W,"Rochester is a city founded in 1854 in the U.S. State of Minnesota and is the county seat of Olmsted County located on the Zumbro River's south fork in Southeast Minnesota. It is Minnesota's third-largest city and the largest city located outside the Minneapolis-St. Paul Metropolitan Statistical Area. As of 2015, the Rochester metropolitan area has a population of 215,884. According to the 2010 United States Census the city has a population of 106,769. The U.S. Census Bureau estimated that the 2018 population was 116,941. It is the home of the Mayo Clinic and an IBM facility, formerly one of the company's largest. The city has long been rated as one of the best places to live in the United States by multiple publications such as Money.",Med City,Olmsted,,,Kim Norton (I),55.20 sq mi (142.95 km2),0.29 sq mi (0.75 km2)  0.29%,"218,280[4] (US: 204th)","1,030 ft (401.4 m)",257846.0,UTC−6 (CST),"55901, 55902, 55903, 55904, 55905, 55906",507,27-54880,,www.rochestermn.gov,142.95,0.75,,401.4
243,Independence,Missouri,116925,116830,0.08,201.5,581,39°05′08″N 94°21′08″W,"Independence is the fifth-largest city in the U.S. state of Missouri.  It lies within Jackson County, of which it is the county seat.  Independence is a satellite city of Kansas City, Missouri, and is part of the Kansas City metropolitan area.  In 2010, it had a total population of 116,830.",,Jackson,,,Eileen Weir,77.57 sq mi (200.91 km2),0.68 sq mi (1.76 km2),,"1,033 ft (315 m)",,UTC−6 (Central (CST)),64050-64057,816,29-35000,,City of Independence,200.91,1.76,,315.0
244,Fairfield,California,116884,105321,10.98,105.9,1083,38°15′33″N 122°01′56″W,"Fairfield is a city in, and the county seat of, Solano County, California, in the North Bay sub-region of the San Francisco Bay Area. It is generally considered the midpoint between the cities of San Francisco and Sacramento, approximately 40 miles (64 km) from the city center of both cities, approximately 40 miles (64 km) from the city center of Oakland, less than 19 miles (31 km) from Napa Valley, 16 miles (26 km) from the Carquinez Bridge, and 14 miles (23 km) from the Benicia Bridge. Fairfield was founded in 1856 by clippership captain Robert H. Waterman, and named after his former hometown of Fairfield, Connecticut.",,Solano,Council-manager,,Harry T. Price,40.92 sq mi (105.97 km2),0.27 sq mi (0.70 km2)  6.95%,,13 ft (4 m),,UTC−8 (Pacific),94533-94535,707,06-23182,,www.fairfield.ca.gov,105.97,0.7,,4.0
245,Provo,Utah,116702,112488,3.75,108.0,1082,40°14′43″N 111°38′41″W,"Provo /ˈproʊvoʊ/ is the third-largest city in Utah, United States. It is 43 miles (69 km) south of Salt Lake City along the Wasatch Front. Provo is the largest city and county seat of Utah County.",,Utah,Strong mayor,,Michelle Kaufusi,41.7 sq mi (107.9 km2),2.5 sq mi (6.5 km2),"526,810","4,551 ft (1,387 m)",,UTC−7 (Mountain (MST)),84601-84606,"385,801",49-62470,,www.provo.org,107.9,6.5,526810.0,1387.0
246,Clearwater,Florida,116478,107685,8.17,67.1,1705,27°58′44″N 82°46′00″W,"Clearwater is a city located in Pinellas County, Florida, United States, northwest of Tampa and St. Petersburg. To the west of Clearwater lies the Gulf of Mexico and to the southeast lies Tampa Bay. As of the 2010 census, the city had a population of 107,685. Clearwater is the county seat of Pinellas County and is the smallest of the three principal cities in the Tampa-St. Petersburg-Clearwater metropolitan area, most commonly referred to as the Tampa Bay Area.",,,,,,,,,,,,,,,,,,,,
247,College Station,Texas,116218,93857,23.82,132.1,849,30°35′07″N 96°17′47″W,"College Station is a city in Brazos County, Texas, situated in East-Central Texas in the heart of the Brazos Valley, in the center of the region known as Texas Triangle. It is 90 miles (140 kilometers) northwest of Houston and 87 miles (140 km) northeast of Austin. As of the 2010 census, College Station had a population of 93,857, which had increased to an estimated population of 121,321 as of February 2019. College Station and Bryan together make up the Bryan-College Station metropolitan area, the 13th-largest metropolitan area in Texas with 273,101 people as of 2019.",,Brazos,Council-Manager,,Karl Mooney,49.5 sq mi (128.1 km2),0.2 sq mi (0.5 km2),"273,101 (US: 175th)",338 ft (103 m),,UTC-6 (CST),77840-77845,979,48-15976,,www.cstx.gov,128.1,0.5,,103.0
248,West Jordan,Utah,116046,103712,11.89,83.7,1360,40°36′09″N 112°00′03″W,"West Jordan is a city in Salt Lake County, Utah, United States. It is a rapidly growing suburb of Salt Lake City and has a mixed economy. According to the 2010 Census, the city had a population of 103,712, placing it as the fourth most populous in the state. The city occupies the southwest end of the Salt Lake Valley at an elevation of 4,330 feet (1,320 m). Named after the nearby Jordan River, the limits of the city begin on the river's western bank and end in the eastern foothills of the Oquirrh Mountains, where Kennecott Copper Mine, the world's largest man-made excavation is located.",,Salt Lake,,,,30.9 sq mi (80.0 km2),0.0 sq mi (0.0 km2),,"4,373 ft (1,333 m)",,UTC−7 (Mountain (MST)),"84081, 84084, 84088","385,801",49-82950,,www.westjordan.utah.gov,80.0,0.0,,1333.0
249,Carlsbad,California,115877,105328,10.02,97.6,1167,33°07′26″N 117°16′58″W,"Carlsbad is a city in the North County region of San Diego County, California, United States. The city is 87 miles (140 km) south of downtown Los Angeles and 35 miles (56 km) north of downtown San Diego and is part of the San Diego-Carlsbad, CA Metropolitan Statistical Area. Carlsbad is a popular tourist destination. The city's estimated 2014 population was 112,299. Among the nation's top 20 wealthiest communities, Carlsbad is the 5th richest city in the state of California with a median household income close to US$105,000.",Village by the Sea,San Diego,Council–manager,,Carl Armstrong-Champ,37.74 sq mi (97.74 km2),1.38 sq mi (3.57 km2)  3.55%,,52 ft (16 m),,UTC−8 (Pacific),"92008-92011, 92018",442-760,06-11194,,www.carlsbadca.gov,97.74,3.57,,16.0
250,El Monte,California,115586,113475,1.86,24.9,4658,34°04′29″N 118°01′45″W,"El Monte /ɛl ˈmɒntiː/ is a residential, industrial, and commercial city in Los Angeles County, California, the United States. The city lies in the San Gabriel Valley east of the city of Los Angeles.",,Los Angeles,Council-Manager,,Andre Quintero,9.56 sq mi (24.77 km2),0.09 sq mi (0.22 km2)  0.89%,,299 ft (91 m),,UTC−8 (Pacific),91731-91735,626,06-22230,,ci.el-monte.ca.us,24.77,0.22,,91.0
251,Murrieta,California,114985,103466,11.13,87.0,1283,33°34′20″N 117°11′25″W,"Murrieta is a city in southwestern Riverside County, California, United States. The population of Murrieta was 103,466 at the 2010 census. Murrieta experienced a 133.7% population increase between 2000 and 2010, according to the most recent census, making Murrieta one of the fastest-growing cities in the state. This population boom in 2010 surpassed the population of the historically larger and more commercial city of Temecula to the south for the first time since the incorporation of either city. Temecula and Murrieta together form the southwestern anchor of the Inland Empire region. Largely residential in character, Murrieta is typically characterized as a commuter town, with many of its residents commuting to jobs in San Diego County, Orange County, Los Angeles County, Temecula, and Camp Pendleton.",,Riverside,Council–manager,,,33.60 sq mi (87.02 km2),0.04 sq mi (0.09 km2)  0.11%,,"1,175 ft (334 m)",,UTC−8 (Pacific),92562-92564,951,06-50076,Ontario International Airport (ONT)San Diego International Airport (SAN),www.murrieta.org,87.02,0.09,,334.0
252,Temecula,California,114742,100097,14.63,96.6,1170,33°29′35″N 117°07′54″W,"Temecula /təˈmɛkjʊlə/ is a city in southwestern Riverside County, California, United States. The city is a tourist and resort destination, with the Temecula Valley Wine Country, Old Town Temecula, the Temecula Valley Polo Club, the Temecula Valley Balloon & Wine Festival, the Temecula Valley International Film Festival, championship golf courses, and resort accommodations for tourists which contribute to the city's economic profile.",,Riverside,,,,37.27 sq mi (96.52 km2),0.01 sq mi (0.03 km2)  0.05%,,"1,017 ft (310 m)",,UTC−8 (Pacific),92589-92593,951,06-78120,,temeculaca.gov,96.52,0.03,,310.0
253,Springfield,Illinois,114694,116250,-1.34,155.7,743,39°47′28″N 89°38′41″W,"Springfield is the capital of the U.S. state of Illinois and the county seat of Sangamon County. The city's population of 116,250 as of the 2010 U.S. Census makes it the state's sixth most populous city. It is the largest city in central Illinois. As of 2013, the city's population was estimated to have increased to 117,006, with just over 211,700 residents living in the Springfield Metropolitan Statistical Area, which includes Sangamon County and the adjacent Menard County.",,Sangamon,,,Jim Langfelder (D),60.09 sq mi (155.64 km2),6.28 sq mi (16.27 km2),"211,752",558 ft (170 m),,UTC−6 (CST),"62701-62708, 62711, 62712, 62715, 62716, 62719, 62722, 62723, 62726, 62736, 62739, 62756, 62757, 62761-62767, 62769, 62776, 62777, 62781, 62786, 62791, 62794, 62796",217,17-167-11046,,www.springfield.il.us,155.64,16.27,211752.0,170.0
254,Palm Bay,Florida,114194,103190,10.66,170.2,647,27°59′08″N 80°39′45″W,"Palm Bay is a city in Brevard County, Florida. The city's population was 103,190 at the 2010 United States Census, making it the most populous city in the county. It developed at Turkey Creek at its mouth at Indian River, which flows into the Atlantic Ocean. ",,Brevard,Council-Manager,,William Capote,65.72 sq mi (170.22 km2),3.14 sq mi (8.12 km2)  4.56%,"543,376",19 ft (5 m),,UTC−5 (Eastern (EST)),32905-32911,321,12-54000,,www.PalmBayFlorida.org,170.22,8.12,543376.0,5.0
255,Costa Mesa,California,113615,109960,3.32,40.7,2775,33°39′57″N 117°54′44″W,"Costa Mesa (/ˌkoʊstə ˈmeɪsə/) is a city in Orange County, California. Since its incorporation in 1953, the city has grown from a semi-rural farming community of 16,840 to a primarily suburban and edge city with an economy based on retail, commerce, and light manufacturing. The population was 109,960 at the 2010 United States Census.",,,,,,,,,,,,,,,,,,,,
256,Westminster,Colorado,113479,106114,6.94,82.1,1387,39°52′56″N 105°03′52″W,"Westminster is a Home Rule Municipality in Adams and Jefferson counties in the U.S. state of Colorado. Westminster is a northwest suburb of Denver. The Westminster Municipal Center is located 9 miles (14 km) north-northwest of the Colorado State Capitol. As of the 2010 census the population of Westminster was 106,114, and as of 2016 the estimated population was 113,875. Westminster is the seventh most populous city in Colorado and the 237th most populous city in the United States. Westminster is a part of the Denver-Aurora-Lakewood, CO Metropolitan Statistical Area and the Denver-Aurora-Boulder Combined Statistical Area. In July 2006, it was ranked as the 24th best place to live in the USA by Money magazine.",,Adams CountyJefferson County,Home Rule Municipality,,Herb Atchison,31.73 sq mi (82.18 km2),2.32 sq mi (6.01 km2),,"5,384 ft (1,641 m)",,UTC−7 (MST),"80003, 80005, 80020-80021, 80023, 80030-80031, 80035-80036, 80221, 80234, 80241, 80260",",303,720",08-83835,,www.cityofwestminster.us,82.18,6.01,,1641.0
257,North Charleston,South Carolina,113237,97471,16.18,190.9,573,32°55′04″N 80°03′54″W,"North Charleston is the third-largest city in the U.S. state of South Carolina, with incorporated areas in Berkeley, Charleston, and Dorchester counties.  On June 12, 1972, the city of North Charleston was incorporated and was rated as the ninth-largest city in South Carolina. As of the 2010 Census, North Charleston had a population of 97,471, growing to an estimated population of 114,000+ in 2019, and with a current area of more than 76.6 square miles (198.5 km2). As defined by the U.S. Office of Management and Budget, for use by the U.S. Census Bureau and other U.S. Government agencies for statistical purposes only, North Charleston is included within the Charleston–North Charleston–Summerville metropolitan area and the Charleston-North Charleston urban area. North Charleston is one of the state's major industrial centers and is the state's top city in gross retail sales.","A great place to live, work, and play","Berkeley, Charleston, Dorchester",Mayor-council government,,R. Keith Summey,73.2 sq mi (189.6 km2),3.5 sq mi (9.0 km2),"744,526 (US: 75th)",25 ft (6 m),,UTC−5 (EST),,"843,854",45-50875,,www.northcharleston.org,189.6,9.0,,6.0
258,Miami Gardens,Florida,113069,107167,5.51,47.1,2398,25°56′56″N 80°14′37″W,"Miami Gardens is a city located in north-central Miami-Dade County, Florida. Its boundaries stretch from I-95 and NE 2nd Avenue on the east, to NW 47th and NW 57th Avenues on the west, and from the Broward County line on the north, to 151st Street on the south. The city name comes from one of the major roadways through the area, Miami Gardens Drive. According to the 2017 estimate from the US Census Bureau, the city had a population of 113,750, and it is the largest city in Florida that has a majority African American population. It is a principal city of the Miami metropolitan area, which was home to an estimated 6,012,331 people at the 2015 census.",,Miami-Dade,Council-Manager,,Oliver G. Gilbert III,18.24 sq mi (47.24 km2),0.78 sq mi (2.02 km2),"5,564,635",7 ft (2 m),,UTC-5 (EST),,"305,786",12-45050,,miamigardens-fl.gov,47.24,2.02,5564635.0,2.0
259,Manchester,New Hampshire,112525,109565,2.7,85.7,1289,42°59′06″N 71°26′39″W,"Manchester is a city in the southern part of the U.S. state of New Hampshire. It is the most populous city in northern New England, an area comprising the states of Maine, New Hampshire, and Vermont. As of the 2010 census the city had a population of 109,565, up slightly to 111,196 in a 2017 estimate. The combined Manchester-Nashua Metropolitan Area had a 2010 population of 400,721.","Queen City, Manch Vegas",Hillsborough,,,Joyce Craig (D),33.1 sq mi (85.7 km2),1.9 sq mi (4.8 km2)  5.33%,"406,678 (US: 132nd)",210 ft (64 m),,UTC-5 (Eastern),03101-03103110,603,33-45140,,www.manchesternh.gov,85.7,4.8,,64.0
